Order_ID,Customer_ID,Order_Date,Product_ID,Quantity,Unit_Price,Region,Payment_Method,Customer_Rating,Total_Price
f67c9a6a-cb06-410c-b4e6-6c9cca5b251d,000146df-e643-4bd8-be9e-548fd3e469b4,2025-01-03,P8662,5,422.55,East,Debit Card,1,2112.75
e7303f64-25ad-4e27-bf26-c3d766c62d9f,0005f12e-c75a-43fb-baf0-835341c0b669,2025-02-03,P3488,3,792.98,South,Net Banking,3,2378.94
20efa951-acc0-46c6-813c-f3b28992e229,001712f3-9b26-4c9c-8088-79e5badfbc44,2024-02-25,P8523,9,112.58,Central,UPI,3,1013.22
7646edae-85f7-42f9-bd2a-047482415aac,0017949a-b9dc-43f2-8911-fae7fd7accff,2025-01-18,P8880,5,423.74,West,Cash,4,2118.7
465a39b7-0ff6-4f26-929c-c3bae020fc5b,001b93c6-9189-4a9b-b14d-9b22f77b993f,2024-11-14,P3339,3,734.78,South,Credit Card,5,2204.34
0bd9f13e-8517-4cd9-8a86-aabbc3439c3d,002994d4-76b2-431b-b5a1-68fb9f582ecd,2025-04-17,P8130,8,218.36,East,Credit Card,4,1746.88
d83eb26e-0670-4353-adfa-e6792381ca74,002f13a0-d596-4a04-8e6f-46a6031b64d2,2025-01-02,P7925,8,616.59,East,Net Banking,1,4932.72
9f72cda9-db22-41e5-8fcf-68df2cfe6620,00357713-4dd4-4c82-ac90-bd748baf65b7,2025-04-29,P7187,3,253.38,East,Cash,3,760.14
e47b5925-f831-409b-a475-7943dc16b9fd,00435b3a-f748-4bef-8dee-e59b1d53fcfe,2024-05-09,P5586,4,340,Central,Net Banking,1,1360
7d486113-2b16-4829-b8d4-ee1af6f3fc32,004393d4-aaa3-4d1a-9966-c28bac2a7b6b,2024-06-25,P2439,8,649.33,South,UPI,,5194.64
71744c55-d5b2-4b65-a6cc-9e8ff4dea0a1,0055be6d-cf89-4df5-b7eb-23cd27e1fc7e,2024-11-03,P6273,2,559.39,East,UPI,,1118.78
7cd17f2e-fa2a-49f3-9009-8d2fc1fda35f,00580a23-94c8-438c-ad0a-45cc1bc3f469,2025-04-28,P6140,2,66.14,Central,Net Banking,2,132.28
1021328e-31c7-478f-99af-5992c3cca510,0069606a-eeb6-4fa3-88f6-c36291aad0cd,2025-03-30,P7032,8,196.87,West,Cash,3,1574.96
7abe8121-799a-472a-b169-3534292ae6d1,006b2195-9f22-4824-99ec-6d0d3806f7c8,2023-08-28,P4999,5,809.85,East,UPI,3,4049.25
64396355-ae7c-4cc3-883b-96f938598054,006c8c52-c707-4222-9825-73a45da0613b,2023-05-23,P4526,6,799.35,East,Debit Card,2,4796.1
cf2ab1e6-8675-4d15-a860-dfedae15993e,006d7a55-4f21-428f-a14d-eb22cefa1366,2024-07-24,P6824,2,806.49,West,Debit Card,5,1612.98
48d92ee9-d5a6-4dd3-aa4d-5f6de0331e57,00789ebc-71f0-4ad7-a2a0-604358b94358,2024-09-15,P6456,5,62.13,Central,Cash,4,310.65
abb3e3b8-5e41-40ce-9440-c4dfcb1d9fad,0078d9c0-86c0-4083-b41f-64c80402ac74,2024-10-16,P6555,8,219.39,Central,UPI,5,1755.12
a1bf7a23-4c97-42f6-9d09-e3214fe02eed,00819b8a-757b-4793-99a6-22346a19ff5c,2023-05-27,P7198,9,29.44,North,Credit Card,3,264.96
51292d8b-c186-4e9c-9996-f04123d99b28,008396dc-9ef1-4994-9118-d0670caa6ab2,2024-05-30,P3326,7,759.9,South,Credit Card,4,5319.3
79e95cd9-4f7f-4226-a743-73229abcb4a8,00850051-f3f5-4aae-9431-9ca259c6b2d7,2024-07-09,P2451,1,945.57,South,Net Banking,4,945.57
cfc7802b-cfda-49e6-b3e7-449cc61d1d1c,0086b434-a809-493a-89b0-3c6d9193428d,2023-06-06,P7215,7,127.39,North,Credit Card,5,891.73
7fea68d3-4d5a-457d-bc5d-3e09842c2203,0086c741-eb79-439b-a79e-4461187c50ab,2024-06-23,P3469,9,163.02,East,Net Banking,4,1467.18
0e17cc95-1867-46b0-b41b-33bfeb61dbb9,008b5f10-b5a0-4ce5-9438-fa55e94010ee,2024-06-09,P9970,2,626.71,East,Net Banking,3,1253.42
cd3f4214-9391-481a-9d53-0c0c21cc58c7,008d81aa-aece-4f63-a2e0-925abdb9642b,2023-12-10,P4962,3,75.74,West,Net Banking,3,227.22
431a0efe-62bb-457b-9bb2-c3246dfab2ad,00914882-2a66-4954-94e3-6fb0c6806b84,2024-07-22,P5424,1,251.4,Central,UPI,3,251.4
8d6f59e0-5afb-47e4-a9e3-817aed78029b,00921110-6017-408a-90bd-73ee3bdd4162,2024-09-23,P8902,4,572.16,East,Cash,2,2288.64
24526550-c11d-4bec-9ebb-4cbabc5d306a,0092c88c-4798-4b52-a813-5e907fea5433,2023-06-20,P9382,1,322.42,South,Credit Card,2,322.42
b0f7ef0f-c471-44ab-b336-3c6679e22e1b,0093341d-f0fe-46e9-b2ff-658804c4595d,2025-03-19,P9845,2,320.68,North,UPI,1,641.36
8c10ea55-398a-4dd2-8b6f-e987131eb427,0093ecfd-d514-4530-ac40-3d0c504c6aec,2025-05-06,P1822,9,615.14,Central,Credit Card,1,5536.26
b070e36e-ba20-4d23-afb1-7ff51241860b,00a29c50-28e5-4f16-8978-27788a55e463,2024-12-13,P2712,9,899.46,South,Credit Card,1,8095.14
b0881c9b-d555-4006-a55d-0ea53f644626,00a3090c-cc3e-4334-b5cd-f3c832949564,2024-09-22,P7391,6,44.38,South,Cash,2,266.28
43604b33-48ae-4c1a-8685-af0178e34ed7,00b19b72-f248-47cc-a5f3-5de95f90aa61,2025-03-28,P8271,6,431.16,North,UPI,5,2586.96
b959838d-a58b-4236-a270-111741aec839,00b74d80-2e5b-4a69-9c2f-01a9d5719226,2024-01-21,P8233,8,709.63,North,Credit Card,4,5677.04
e96d7e37-787a-4c84-8e50-70ffdba7bb68,00b8fbc4-856a-44ee-90e1-4c9dd6bb3fac,2024-07-25,P4659,2,807.02,East,Net Banking,1,1614.04
18e8f95d-5e5e-4aa4-80a5-23f20946e879,00bcd2c0-d5cb-4779-a7d0-6717a342a794,2023-10-23,P9438,8,129.14,South,Credit Card,4,1033.12
186560c3-fb5b-4187-a7c2-e9c310bc991b,00c4a968-9f13-40c4-9dec-18a932b99a34,2023-07-11,P1109,1,303.92,North,Debit Card,4,303.92
ad005499-10ce-473d-a51f-749ea85433ef,00c8a074-0fae-418e-a347-302b3a0f97db,2025-02-05,P7586,8,785.63,Central,Debit Card,,6285.04
ec54a81d-9e77-4de4-a093-d7196e73f27b,00cf8abd-9960-4334-969f-648b2eb65f36,2023-07-09,P7920,7,918.93,North,UPI,1,6432.51
8da677a0-bc93-47ef-aa7b-2e4141abee42,00d2d725-bb44-4cac-9599-5a00caaf5e6b,2023-05-15,P8391,1,76.4,Central,Credit Card,4,76.4
9a620c80-375b-4900-8ae6-4ba0f4f3722c,00d6e0b0-b5f1-4dc7-85bb-95162a9a374b,2024-02-16,P5433,4,931,Central,Debit Card,1,3724
9d7a12e2-7f03-4486-b68d-b40b7b443c5f,00d957af-a1ba-47a9-89e2-9ff7ccf92d2d,2024-06-23,P8334,4,957.74,North,Credit Card,1,3830.96
dddab3ae-1198-4166-be7c-e60a23c7cbbc,00e30056-307e-4f4c-be8f-c9c812d8c781,2024-12-17,P8879,5,260.84,East,Net Banking,5,1304.2
4de6ed92-3e34-484a-8e71-716bdf6bada4,00e56bc1-4e92-4f3b-9b77-3ca5ede2d302,2025-02-18,P5535,1,774.54,West,UPI,4,774.54
9ece02fb-798c-4653-b698-8693293af5bd,00eca464-901a-490e-9ecb-e0e55a99b429,2024-01-21,P7606,3,496.02,West,Credit Card,,1488.06
85528189-0304-46d2-bfbd-14e19fa20b32,00ee8b8f-23e1-4c09-8f19-90fe345063b3,2023-07-18,P6493,9,446.47,North,Credit Card,4,4018.23
17df7610-a2eb-48aa-bd4a-8d537d56a4fa,00ffa9c1-a408-4e3a-be8f-1a482ecd7155,2023-09-10,P8698,8,585.45,North,Credit Card,4,4683.6
022189e9-36b8-484d-95ef-4b39119c473f,010e12ae-b3f5-4449-95a4-1db765ffbf9c,2023-07-11,P7621,4,696.91,North,UPI,3,2787.64
c01b8459-ac82-4874-b094-3166d9b85d28,0116740f-a6c2-464b-a169-a20a8d28a637,2023-10-23,P1121,3,272.66,North,UPI,3,817.98
4257c0c6-7751-4091-969b-01a21b4699ba,0118b9ff-2e5d-406e-b288-21c6def638ff,2024-11-24,P4408,4,164.68,Central,Debit Card,4,658.72
bb268256-09a0-4515-a71c-8602f220219e,012d2c60-7cfd-4249-b18d-d3aa78172791,2025-02-03,P8989,5,515,West,Net Banking,5,2575
7fe92cde-6130-42d8-8408-66a6cf09ab75,012e26b7-2855-4c9a-8979-a757937fa8e5,2023-06-02,P5528,3,181.73,Central,Net Banking,4,545.19
d556050b-0fa6-4e14-accf-fc3772052866,01319249-a7e2-46b1-b266-f208b59299a2,2023-05-31,P6931,3,293.32,West,Cash,4,879.96
26bc9df2-6ca9-45eb-baee-34ac767568ae,013324f5-ff2a-4a89-8434-7e48b04c308c,2024-09-16,P2071,9,311.83,North,Credit Card,5,2806.47
5bcbfcc0-1606-4bee-8510-449162e2ed60,01385235-f486-4f2d-b524-7ffe42a4a727,2024-06-19,P2850,7,541.09,West,Cash,4,3787.63
ff54a1ca-9743-427f-8169-f310fc268f07,01406a76-f662-48cc-aba6-852c5fa5268c,2024-12-27,P5604,6,437.76,Central,Net Banking,2,2626.56
a996058d-c093-4870-9694-d3a00cd99ca4,014156fd-405e-4bff-8b0c-ebe597e4e674,2023-10-31,P3748,1,410.29,North,Debit Card,3,410.29
33f0c80c-952e-43e1-910e-1c8a9dad03ef,01446679-5918-40eb-a033-877793bb35f3,2024-04-12,P7989,2,989.29,South,Debit Card,3,1978.58
fa131607-ef75-4c17-b4fc-9b911c3a293a,014559b0-2082-4f30-aa40-55283ac884db,2023-05-31,P6016,3,345.74,East,Cash,3,1037.22
8a938466-4626-42dd-bae8-ac0095a8aa5a,0149f098-372f-4955-8ab1-9d8b1001c54e,2024-11-20,P1510,8,128.89,East,Debit Card,5,1031.12
e0ce17a6-f3e2-44a1-8283-1b67aad89286,014f0424-1e52-4fed-bd06-68b271d886f8,2023-06-08,P6147,7,600.4,West,Credit Card,2,4202.8
ecd3a9f2-27d3-4b0a-b2a6-cb78e7a4da20,0163599b-923a-4908-bd7d-8ff06e62114d,2024-10-30,P8620,4,493.55,East,Cash,5,1974.2
fc9fe269-e22f-42ce-9ad2-e1b985ed1023,016406fd-db5f-48b2-9df3-912dea2a848d,2023-12-18,P8926,3,73.76,East,UPI,4,221.28
ae23ae3d-54aa-4eca-8efb-e300e319e739,01673905-bf5f-4cce-8e9a-2e59815e15e1,2025-01-15,P7388,4,793.57,Central,UPI,2,3174.28
b43d52e8-bc97-43c2-a74c-f59b6c96aa6d,016a726c-4e91-4d96-9735-950667307a55,2023-12-17,P2130,5,48.28,West,Cash,1,241.4
e46481be-4017-4b6b-a7ec-d228a28a5164,016be66c-826a-442b-ad16-1bda007e6fa3,2024-12-23,P7585,3,58.6,East,Cash,5,175.8
